-Quartal	BS	 BL	 ZH	 GE
2003-Q1	29276.2	16158.3	3855.5	34895
2003-Q2	29619	16180.3	3805.9	35769.4
2003-Q3	29728.3	16222.9	3800.8	36674.6
2003-Q4	29601.2	16349.2	3817.7	37362.4
2004-Q1	29946.3	16470.5	3827.8	37890.1
2004-Q2	30772.3	16889.5	3927.5	39673
2004-Q3	29659.8	16407.3	3830.8	40660.8
2004-Q4	29445.1	16221.6	3836.7	41571
2005-Q1	29265.4	16271.2	3923.4	42692.6
2005-Q2	28822	16134.7	3902.5	43422.9
2005-Q3	28015.2	15989.8	3880.8	43969.5
2005-Q4	28380.6	16055.8	3996.2	45096.3
2006-Q1	28614.4	15875.9	4050.9	46641.9
2006-Q2	28907.9	16369.4	4159.2	47245.2
2006-Q3	29577.2	16936.6	4295.5	48739.9
2006-Q4	30046.7	17130.7	4405.7	49699.5
2007-Q1	30238.2	17639.5	4605.9	50540.9
2007-Q2	30351.3	18031.1	4738	52168.3
2007-Q3	30500	18360.2	4923.4	52104.3
2007-Q4	30012.4	17923.2	4995.4	53075.2
2008-Q1	29946.8	17891	5131	53862.3
2008-Q2	30553.9	17541.5	5350.7	54657.6
2008-Q3	29972.6	17391.9	5458.9	54808.1
2008-Q4	29147.1	17371.3	5368.2	55825.5
2009-Q1	29366.2	17630.7	5552.6	56321.9
2009-Q2	29850.3	17970.3	5707.9	56600
2009-Q3	29933.4	18107	5740.3	55955.4
2009-Q4	30144.3	17909.2	5821.4	56828.7
2010-Q1	30865.6	18262	5979.4	57376.7
2010-Q2	31555.3	18569.9	6221	58427.6
2010-Q3	31606.4	18563.9	6337.2	59369.1
2010-Q4	31089.6	18320.9	6370.8	60288.8
2011-Q1	30953.9	18459.7	6511.8	61865.1
2011-Q2	31352.3	18681.9	6739.2	62823.2
2011-Q3	31869.4	18895.4	6922.2	64097.7
2011-Q4	31928.7	18695	7046.4	64768.9
2012-Q1	31996.1	18733.3	7253	66381.4
2012-Q2	32575.6	18966.7	7461.5	66382.7
2012-Q3	32950.8	19024.3	7683.1	66958.6
2012-Q4	32798.6	18863.2	7723.7	69294.9
2013-Q1	32862.5	18672.4	7935.1	70125
2013-Q2	33403.6	18909.5	8172.8	71863.1
2013-Q3	33774.1	19039.1	8380.1	72376
2013-Q4	33603.1	19163.1	8409.1	72649.1
2014-Q1	33881.1	19362	8585.9	74035.5
2014-Q2	34247.4	19523.7	8715	74644
2014-Q3	34717.6	19896.7	8877	74756.6
2014-Q4	35143	20055.2	9014.4	76400.1
2015-Q1	35473.2	20252.7	9237.2	76854.4
2015-Q2	35534.2	20482.6	9404.2	78765.8
2015-Q3	35991.3	20740.1	9551.4	78898.2
2015-Q4	36271.5	20906.1	9684.2	81319.5
2016-Q1	36445.9	20915.7	9919.8	82804.9
2016-Q2	36612.1	21049.8	9977.8	83553.8
2016-Q3	36865.4	21252.5	10104.5	84832.3
