jahr	Pzt Schweizer	Pzt Ausländer	Anz Schweizer	Anz Ausländer	Anz sesshaft Total	Total
2006	42.529412	19.510815	54874	11383	66257	187368
2007	42.445992	20.04329	54760	11760	66520	187684
2008	42.333704	19.856443	54707	11923	66630	189274
2009	42.40387	19.671838	54433	12133	66566	190045
2010	42.939602	18.455868	55049	11467	66516	190333
2011	42.873551	17.447538	54870	11183	66053	192076
2012	42.957196	17.881178	54956	11717	66673	193459
2013	43.052373	18.005388	55067	12163	67230	195459
2014	43.118597	18.430044	55059	12676	67735	196471
2015	43.065579	18.688835	54959	13005	67964	197204
