jahr	Schweiz	Ausland	Ausland_GeburtslandCH	Nachfolgestaaten Jugoslawiens	Türkei	Italien	Sri Lanka	Deutschland	Total
2006	111	883	403	343	244	82	71	16	994
2007	81	1826	773	865	460	78	146	41	1907
2008	90	1606	731	703	389	98	103	57	1696
2009	66	1024	426	390	265	56	62	106	1090
2010	587	718	314	250	147	34	42	106	1305
2011	519	566	264	168	107	47	27	89	1085
2012	63	660	304	152	143	59	41	96	723
2013	87	878	392	247	164	49	28	154	965
2014	76	762	336	199	100	69	22	154	838
2015	101	978	480	218	144	82	20	219	1079
