jahr	Basel-Stadt	Basel-Landschaft	Aargau	Schweiz
2000	5.79222342534906E-02	4.47862610636747E-02	3.16575018918607E-02	4.05578955175159E-02
2001	5.52809288215536E-02	0.043571500929228	3.18873406448506E-02	4.09128367088358E-02
2002	5.38325537331494E-02	4.46546624804496E-02	3.33215170318839E-02	4.18110089845365E-02
2003	5.18859995265883E-02	4.57282511272898E-02	3.45447923439792E-02	4.17836309633791E-02
2004	5.09260246011585E-02	4.67350094544895E-02	3.56873197243352E-02	4.19647521365578E-02
2005	5.04320373937012E-02	0.04694619241694	3.62959253737355E-02	4.18121293633543E-02
2006	4.69118719453356E-02	4.54386115803267E-02	3.59554473409851E-02	4.04873347425358E-02
2007	0.045154805196623	4.47055805135785E-02	3.62586434724367E-02	3.98625583364237E-02
2008	4.59049569668237E-02	4.48371571886935E-02	3.70660660787284E-02	4.05173784572166E-02
2009	4.38899108789325E-02	4.63137859256821E-02	3.74368609968112E-02	4.06851559285584E-02
2010	4.26808784288086E-02	4.73761963197996E-02	3.78213928829799E-02	4.14531172012182E-02
2011	4.17049802689973E-02	4.92427040284353E-02	3.79353543606173E-02	4.17685972897897E-02
2012	0.042019094466236	4.88751667477373E-02	3.68968926705445E-02	4.22881574651297E-02
2013	4.06066236875508E-02	4.72812700819937E-02	3.46543393221746E-02	0.041168820845486
2014	3.97253971232925E-02	4.68429714580129E-02	3.43147537882335E-02	4.08373201612184E-02
2015	3.86658686586381E-02	4.59352151376296E-02	3.39022735101149E-02	4.01683205204465E-02
