Branche	Schweiz	Basel-Stadt	Genf	Zürich
Baugewerbe	6.00709567161643E-03	-1.69666883337779E-03	0.026188234906361	2.57620980581417E-02
Finanz- und Versicherungsdienstleistungen	2.60636543770597E-03	1.23870381988171E-02	-1.07786782289552E-02	1.34869098829383E-03
Freiberufliche und wissenschaftl. Dienstl.	1.63275080779176E-02	2.86997606355376E-02	2.25682633340929E-02	1.30294270978241E-02
Gastgewerbe	-1.11502790075103E-02	4.47398776132501E-03	-5.88438669562644E-03	6.25527714360651E-03
Gesundheits- und Sozialwesen	5.00659769873504E-02	4.42130446611908E-02	5.19102593112183E-02	5.05026402788294E-02
Handel und Garagengewerbe	-1.61370284442059E-02	-2.70382153820644E-02	-8.87022937782806E-03	-1.56406384882847E-02
Herstellung von chemischen Erzeugnissen	9.35574976330852E-03	0.127607005703623	1.68221210255295E-02	9.57722652549535E-03
Life Sciences	2.74804062233415E-02	3.31522127780296E-02	0.024187832959548	3.10111741512357E-02
Sonstige wirtschaftliche Dienstleistungen	3.31844099099296E-02	4.25468110714153E-02	4.20625126386089E-02	3.07328007331705E-02
Verkehr und Lagerei	1.88479651528407E-03	4.91807855237642E-03	3.31790934226434E-03	-1.49342486180136E-04
Verwaltung	1.73534373714699E-02	4.22433115840454E-02	3.63698995506745E-02	1.94278284960264E-02
