Jahr	Allgemeine Verwaltung	Öffentliche Ordnung und Sicherheit	Bildung	Kultur, Sport und Freizeit, Kirche	Gesundheit	Soziale Sicherheit	Verkehr	Umweltschutz und Raumordnung	Volkswirtschaft	Finanzen und Steuern
2005	259338.62191	879346.05438	3146024.60026	582558.36474	2961517.72938	2202095.01449	760969.32234	168739.03497	47758.95309	416357.36568
2006	161398.09777	904745.84727	2988454.32757	596014.00026	3018659.66641	2293236.25672	829378.56171	160203.80438	51477.1409	485416.00653
2007	1179435.08422	931395.66942	5242532.94513	641634.41979	3083034.49805	2321009.28278	620554.56147	184143.19091	61896.67334	504905.08728
2008	797215.543577212	353325.001155487	1110294.04536999	246449.013571579	589784.372695232	717050.874112801	151203.1987239	116395.743866227	45388.0645217333	264176.653414063
2009	194841.962049332	335943.398329872	1154741.31121422	223172.973401703	648018.704240234	769345.118826061	127780.578372101	91412.2425228615	85261.3449398498	270154.830412109
2010	385191.764291528	346630.299745071	1184172.48959432	231160.162660112	633401.118650726	793271.675010164	125163.210897601	94954.6168708038	140127.812060407	256127.724048828
2011	366745.281382322	364193.52345697	1217027.01602139	241939.865521716	649368.978908066	832572.549465485	126353.689023773	96337.8892507324	34587.2367312813	271833.154935547
2012	217976.139006935	385150.440417435	1319787.11596714	264909.415978085	885054.147643219	884793.753910278	177960.930358643	87396.9753154983	17048.4757331002	269099.17925
2013	248758.630172063	419096.731085403	1375752.30943196	251703.162606148	605162.026822845	895985.002763052	310715.150862421	85640.7104907327	16641.7514397619	338362.179480469
2014	286025.193169861	426340.829235313	1458365.38814322	285867.909307272	607409.924983246	963077.807638153	252068.036577919	82268.0685664263	23592.4025926803	323288.10250293
