jahr	 AOX pro Einwohner und Beschäftigte	 AOX pro Einwohner	AOX kg/J	Einwohner	Beschäftigte
2006	7.07689573986436	12.8503712025944	2421.53679978809	188441	153734
2007	5.06516431401054	9.19981997874141	1732.62049623633	188332	153734
2008	4.36420218462756	8.03887519608206	1519.9905220752	189080	159206
2009	5.6856227373291	10.432716083944	1989.3311683186	190682	159206
2010	4.90385929739828	8.97127317057923	1722	191946	159206
2011	5.06289487164893	9.25723563021012	1779	192174	159206
2011	4.73165983116033	9.25723563021012	1779	192174	183804
2012	3.49326623232776	6.37636080870918	1230	192900	159206
2012	3.23812031064894	6.37636080870918	1230	192900	186950
2013	0	0	0	194655	188754
2014	0	0	0	196086	191441
