Jahr	Trinkwasserverbrauch  in L der Haushalte pro Kopf und Tag	Verbrauch_Haushalte	Bevölkerung
2006	227.192535325691	15537543	187368
2007	223.745026980646	15327577	187684
2008	224.184276733838	15487773	189274
2009	219.21322887838	15206038	190045
2010	216.707660668839	15055016	190333
2011	225.635471917937	15818793	192076
2012	226.434300935379	15989100	193459
2013	212.641560886503	15170388	195459
2014	213.473576880495	15308599	196471
2015	207.66807642069	14947836	197204
2011	225.635471917937	15818793	192076
2012	226.434300935379	15989100	193459
2013	212.641560886503	15170388	195459
2014	213.473576880495	15308599	196471
2015	207.66807642069	14947836	197204
