Jahr	Bereich Gesundheit
1998	2584182.31036
1990	2135130.58423
2004	2915013.47912
2010	633401.118650726
2001	2835509.42938
2007	3083034.49805
2013	605162.026822845
1996	2576467.63425
2002	2878047.16683
2008	589784.372695232
1999	2465176.95197
1993	2597769.79125
2005	2961517.72938
2000	2320162.31488
1994	2564143.87078
2014	607409.924983246
1997	2527191.58412
1991	2414420.70276
2003	2895089.17037
2011	649368.978908066
1992	2564293.71301
2006	3018659.66641
2012	885054.147643219
1995	2579447.50027
2009	648018.704240234
