Jahr	Theater Basel	 Fauteuil	 Tabourettli	 Basler Kinder Theater	 Kaserne1	 Theater Arlecchino	
2006	158343	54116	23651	7374	9727	9400	
2007	165188	59549	22364	7348	7240	10500	
2008	176166	56768	20668	8174	13888	11400	
2009	178716	56000	22641	8900	18575	14000	
2010	177988	54051	22611	8979	21457	16880	
2011	164645	58358	22388	10500	14004	14955	
2012	165614	57923	20100	12315	16410	17445	
2013	188838	57367	22163	12500	16828	17035	
2014	169077	55197	20285	10100	14803	14335	
2015		61710	20098	10000		15210	

