Jahr	Wohnviertel	Motorisierungsgrad
2015	Altstadt Grossbasel	203.643724696356
2015	Altstadt Kleinbasel 	164.681724845996
2015	Am Ring 	220.259349746288
2015	Bachletten 	272.10382715139
2015	Bettingen	422.757475083056
2015	Breite 	269.552441229656
2015	Bruderholz 	328.295642581357
2015	Clara 	245.222139488707
2015	Gotthelf 	221.458851045169
2015	Gundeldingen 	198.3032873807
2015	Hirzbrunnen 	288.649489115948
2015	Iselin 	218.478784956606
2015	Kleinhüningen 	262.413793103448
2015	Klybeck 	226.205191594561
2015	Matthäus 	169.737818451645
2015	Riehen 	366.764099861038
2015	Rosental 	204.438684594201
2015	St. Alban 	297.827481895682
2015	St. Johann 	199.574694311536
2015	Vorstädte 	237.834549878345
2015	Wettstein 	257.356875334403
