Jahr	Tagesbetreuung	Tagesstrukturen in den Quartieren	Tagesstrukturen in den Schulen	Tagesferien	davon subventionierte Tagesheime	davon nicht subventionierte und mitfinanzierte Institutionen	davon Firmenkrippen	davon Tagesfamilien	davon Mittagstische	davon Nachmittagsbetreuung	davon Hausaufgabenunterstützung	davon Frühort	davon Mittagstische	davon Nachmittagsbetreuung
2006	1997.72161172161	571	394	0	1080	542	280.666666666667	95.0549450549451	492	79	0	0	197	197
2007	2101.09523809524	752	488	0	1143	602	271.333333333333	84.7619047619048	569	183	0	0	244	244
2008	2239	799	620	0	1241	662	262	74	598	201	0	0	310	310
2009	2315.66666666667	819	814	152.727272727273	1247	722	252.666666666667	94	612	207	0	0	407	407
2010	2928	910	1173	178.181818181818	1294	1147	394	93	622	132	156	0	593	580
2011	3212	802	1510	176.363636363636	1378	1339	393	102	534	108	160	0	791	719
2012	3457	743	2209	181.818181818182	1409	1443	516	89	477	129	137	188	1076	945
2013	3560	851	2966	192.727272727273	1409	1528	524	99	561	136	154	326	1320	1320
2014	3859	918.6	3706	198.181818181818	1555	1705	501	98	605	147	166.6	474	1620	1612
2015	3987	782	4096	198	1586	1822	492	87	536	113	133	488	1804	1804
