Jahr	KVA1 Kehricht	HKW2	ARA3 Schlammverbrennung	Waldholz/Schreinereiabfälle	Geothermie (Aquifer Riehen)	Umweltwärme	Sonnenkollektoren	Erneuerbare Energie - Wärme Total
2004	180.1	13.0	32.0	4.2	11.4	5.8	2.4	248.9
2005	188.9	13.0	31.1	4.5	11.7	5.6	3.0	257.8
2006	205.3	13.0	32.9	6.1	11.4	6.0	3.3	278.0
2007	215.3	13.0	34.7	4.1	9.0	6.6	3.9	286.5
2008	226.8	44.3	35.1	5.9	11.4	7.0	4.7	335.2
2009	226.7	124.6	23.1	6.1	11.1	7.1	5.8	404.7
2010	230.9	132.4	31.4	7.3	7.7	7.3	6.5	423.7
2011	232.3	125.5	25.3	7.7	2.2	7.4	7.5	407.9
2012	238.9	133.4	30.2	8.0	12.8	7.6	8.5	439.3
2013	239.0	143.1	31.6	8.3	12.4	8.0	9.4	451.8
