Jahr	 Allgemeine Verwaltung	 Öffentliche Ordnung und Sicherheit	 Bildung	 Kultur, Sport und Freizeit, Kirche	 Gesundheit	 Soziale Sicherheit	 Verkehr	 Umweltschutz und Raumordnung	 Volkswirtschaft	 Finanzen und Steuern
2005	 259339 	 351288 	 944912 	 194186 	 1009223 	 765702 	 253656 	 76993 	 21503 	 138786 
2006	 161398 	 364262 	 957409 	 198671 	 1029409 	 795955 	 276460 	 73133 	 23100 	 161805 
2007	 1179435 	 376797 	 1031536 	 213878 	 1050935 	 806445 	 206852 	 84649 	 26698 	 168302 
2008	 797216 	 353325 	 1110294 	 246449 	 589784 	 717051 	 151203 	 116396 	 45388 	 264177 
2009	 194842 	 335943 	 1154741 	 223173 	 648019 	 769345 	 127781 	 91412 	 85261 	 270155 
2010	 385192 	 346630 	 1184172 	 231160 	 633401 	 793272 	 125163 	 94955 	 140128 	 256128 
2011	 366745 	 364194 	 1217027 	 241940 	 649369 	 832573 	 126354 	 96338 	 34587 	 271833 
2012	 217976 	 385150 	 1319787 	 264909 	 885054 	 884794 	 177961 	 87397 	 17048 	 269099 
2013	 248759 	 419097 	 1375752 	 251703 	 605162 	 895985 	 310715 	 85641 	 16642 	 332778 
2014	 286025 	 426341 	 1458365 	 285868 	 607410 	 963078 	 252068 	 82268 	 23592 	 323288 
