	1979/1980	1989/1990	1999/2000	2009/2010	2010/2011	2013/2014
Kindergarten CH Knaben	5	6	9	9	7	9
Kindergarten CH Mädchen	8	8	13	11	10	11
Kindergarten Ausland Knaben	13	15	16	16	17	14
Kindergarten Ausland Mädchen	23	17	20	16	20	18
						
Unterstufe CH Knaben	9	11	16	20	19	21
Unterstufe CH Mädchen	9	10	23	19	22	14
Unterstufe Ausland Knaben	20	21	36	31	33	29
Unterstufe Ausland Mädchen	19	26	30	28	34	25
						
Oberstufe CH Knaben	7	13	18	24	28	25
Oberstufe CH Mädchen	10	8	14	17	18	18
Oberstufe Ausland Knaben	11	21	29	36	39	32
Oberstufe Ausland Mädchen	9	24	24	34	29	33
